[2025-02-25 11:22:26,933] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2025-02-25 11:22:27,033] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 1 and epoch zk version is now 1 (kafka.controller.KafkaController)
[2025-02-25 11:22:27,044] INFO [Controller id=0] Creating FeatureZNode at path: /feature with contents: FeatureZNode(2,Enabled,Map()) (kafka.controller.KafkaController)
[2025-02-25 11:22:27,116] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2025-02-25 11:22:27,121] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2025-02-25 11:22:27,127] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2025-02-25 11:22:27,129] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2025-02-25 11:22:27,152] INFO [Controller id=0] Initialized broker epochs cache: HashMap(0 -> 25) (kafka.controller.KafkaController)
[2025-02-25 11:22:27,158] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2025-02-25 11:22:27,165] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2025-02-25 11:22:27,181] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2025-02-25 11:22:27,184] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2025-02-25 11:22:27,184] INFO [Controller id=0] Currently shutting brokers in the cluster: HashSet() (kafka.controller.KafkaController)
[2025-02-25 11:22:27,184] INFO [Controller id=0] Current list of topics in the cluster: HashSet() (kafka.controller.KafkaController)
[2025-02-25 11:22:27,185] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2025-02-25 11:22:27,187] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2025-02-25 11:22:27,187] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2025-02-25 11:22:27,189] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2025-02-25 11:22:27,189] INFO [Topic Deletion Manager 0] Initializing manager with initial deletions: Set(), initial ineligible deletions: HashSet() (kafka.controller.TopicDeletionManager)
[2025-02-25 11:22:27,191] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
